Name,Address,Coordinates
شل,,"[56.7328352, 23.4035845]"
محطة بترول,,"[56.7746566, 23.3997878]"
مركز مقنيات الصحى,,"[56.8702654, 23.3782835]"
Shell,,"[56.7745757, 23.4343474]"
محطة وقود المها,,"[57.2360317, 22.8655569]"
مقهى,,"[57.235991, 22.8654352]"
مدرسة الهجر للتعليم الأساسي,,"[56.9387174, 23.279617]"
عبدالله بن عمر للتعليم الأساسي,,"[56.9403251, 23.2777309]"
مسجد,,"[56.4900056, 23.1792072]"
مسجد,,"[56.494721, 23.1805164]"
مسجد,,"[56.4883044, 23.1974714]"
مسجد,,"[56.4923459, 23.2156194]"
بنك عمان العربي,,"[56.4903313, 23.215804]"
مطعم مجلس الضيف,,"[56.6044744, 23.3179415]"
جامع حي العقبة,,"[56.5264961, 23.2304252]"
مسجد,,"[56.5204396, 23.2294173]"
مسجد,,"[56.5248707, 23.2084612]"
مسجد,,"[56.4931537, 23.2349417]"
مسجد,,"[56.499051, 23.2380048]"
مسجد,,"[56.4973219, 23.2402448]"
مسجد,,"[56.5037874, 23.2338364]"
مسجد,,"[56.5008405, 23.2312994]"
مسجد,,"[56.5026834, 23.2240799]"
مسجد,,"[56.5046004, 23.2213767]"
الكلبانى للعقارات,,"[56.5168608, 23.2209669]"
مسجد,,"[56.5176412, 23.223935]"
مسجد,,"[56.5251495, 23.1899836]"
مسجد,,"[56.5102688, 23.2021061]"
The Grounds Coffee,,"[58.2977845, 23.5751955]"
مسجد,,"[56.5244064, 23.2012805]"
مسجد,,"[56.5198848, 23.203911]"
مسجد,,"[56.4909948, 23.2207956]"
مسجد,,"[56.4992024, 23.2198416]"
مسجد,,"[56.4967452, 23.2200919]"
صيدلية الأرياف العمانية,,"[56.4941923, 23.2236906]"
مجمع عمان الطبي,,"[56.4942547, 23.2237766]"
مسجد,,"[56.4948896, 23.2255925]"
مسجد الصفا,,"[56.4900955, 23.225407]"
مسجد,,"[56.4986292, 23.2270861]"
مسجد,,"[56.496672, 23.2328836]"
مسجد,,"[56.510018, 23.2503603]"
مسجد,,"[56.5158792, 23.2431841]"
مسجد,,"[56.5111643, 23.24327]"
مسجد,,"[56.5082152, 23.2449765]"
مسجد,,"[56.5168227, 23.2353895]"
مسجد,,"[56.5177268, 23.226959]"
مسجد,,"[56.5161275, 23.2314919]"
Pizza Hut,,"[56.5150117, 23.2243876]"
الجمعية الفلكية العمانية,,"[58.2900531, 23.5646626]"
Grizzley's,,"[58.296944, 23.5853378]"
Döner Restaurant,,"[58.2968885, 23.5854838]"
مبنى إدارة التحريات,,"[58.2893174, 23.5766464]"
Subway,,"[58.2936829, 23.5790249]"
الادارة العامة للمرور- السيب,,"[58.3096204, 23.585689]"
بنك عمان العربي,,"[58.1714053, 23.567696]"
Subway,,"[58.1706903, 23.5670299]"
دوار الجامعة,,"[58.1651439, 23.6064399]"
مطعم,,"[58.2976279, 23.5856131]"
Petrol Station,,"[58.2170617, 23.5601582]"
كلية العلوم الزراعية و البحرية,,"[58.1686697, 23.5899587]"
مكتبة الفاونديشن,,"[58.1698098, 23.5912504]"
قاعة المعارض,,"[58.1675699, 23.5911874]"
Bank Muscat,,"[58.165823, 23.5925217]"
Medical Library,,"[58.1640138, 23.5916838]"
Pharmacy,,"[58.145563, 23.5884173]"
Turkish Food,,"[58.144192, 23.591774]"
جامع حي المعرفة,,"[58.1419549, 23.5958312]"
مسجد حي المعرفة,,"[58.1425618, 23.5958964]"
وقود المها,,"[58.1211575, 23.6002761]"
مدرسة التألق الخاصه,,"[58.1199918, 23.5995738]"
مركز صحي بوادي نام,,"[58.6396929, 22.7279254]"
مستشفى ابراء المركزي,,"[58.5911861, 22.6632044]"
ميستوبيشي,,"[58.5966965, 22.661882]"
مجمع المحاكم,,"[58.5979731, 22.6549697]"
Al Salam Garden Restaurant,,"[58.6217006, 22.6456006]"
مسجد الرق,,"[58.6049019, 22.7253039]"
مركز صحي إبرا الجديد,,"[58.5922152, 22.666438]"
بنك مسقط,,"[57.5108341, 22.3746174]"
بحيرة الصفا,,"[55.687095, 23.3396184]"
جامع هجار,,"[56.4720273, 23.2254402]"
مسجد,,"[56.5169968, 23.2003043]"
مسجد,,"[56.5174098, 23.2137591]"
مسجد,,"[56.5166134, 23.2090247]"
مسجد,,"[56.4897595, 23.2077057]"
مسجد الحديثه,,"[57.49041, 22.4317908]"
مسجد,,"[56.4315358, 23.2321882]"
مسجد السلام,,"[58.118614, 22.5170759]"
بنك مسقط,,"[58.1208671, 22.5745993]"
مركز شرطة المضيبي,,"[58.1222685, 22.5740849]"
بنك مسقط,,"[57.3099144, 22.9853373]"
Shell,,"[57.3077038, 22.9784117]"
Fast-food,,"[57.6652718, 22.7908684]"
جامع السلطان قابوس بولاية منح,,"[57.6131873, 22.7925783]"
قيادة شرطة المهام الخاصه,,"[57.6691671, 22.8898466]"
مسجد أبو بكر,,"[57.565165, 22.901601]"
Abu Mustafa Clinic,,"[58.1238044, 23.4139739]"
مكتبة حملة العلم,,"[57.7636674, 22.9265497]"
مسجد مرتفعات إزكي,,"[57.7507611, 22.9215401]"
عيادة النور,,"[57.7723575, 22.9310269]"
مسجد,,"[56.4724359, 23.219787]"
سوق سناو,,"[58.0262983, 22.4963882]"
Oman Oil,,"[57.4637094, 22.8606683]"
Shell,,"[57.4855995, 22.8536983]"
مطعم الأنعام البرونزيه,,"[57.5333998, 22.8744386]"
فاكهة المانجو,,"[57.5344166, 22.87246]"
نفط عمان,,"[57.5350459, 22.8765918]"
بنك مسقط,,"[57.6071247, 22.7839242]"
